GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
audit-authorization,com.mfpe.controller,AuthController,22,131,0,2,5,34,1,5,1,4
audit-authorization,com.mfpe.security,SecurityConfig,0,54,0,0,0,10,0,5,0,5
audit-authorization,com.mfpe.service,ProjectManagerDetailsService,22,14,3,1,6,5,3,2,1,2
audit-authorization,com.mfpe.service,JwtService,102,3,4,0,14,1,10,1,8,1
audit-authorization,com.mfpe.filter,JwtRequestFilter,100,7,10,0,27,2,6,2,1,2
audit-authorization,com.mfpe.model,AuthenticationResponse,46,122,15,11,0,6,14,11,1,11
audit-authorization,com.mfpe.model,ProjectManagerDetails,118,178,35,5,5,17,27,15,7,15
audit-authorization,com.mfpe.model,AuthenticationRequest,62,64,20,2,0,3,13,7,2,7
audit-authorization,com.mfpe.exception,ExceptionHandlerAdvice,40,7,0,0,8,2,4,2,4,2
audit-authorization,com.mfpe.exception,ProjectManagerNotFoundException,7,0,0,0,4,0,2,0,2,0
audit-authorization,com.mfpe,AuditAuthorizationApplication,5,3,0,0,2,1,1,1,1,1
audit-authorization,com.mfpe.swagger,SwaggerConfig,0,15,0,0,0,3,0,2,0,2
