GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
audit-severity,com.mfpe.controller,AuditSeverityController,41,9,4,0,9,3,3,3,1,3
audit-severity,com.mfpe.service,AuthorizationServiceImpl,0,11,0,0,0,2,0,2,0,2
audit-severity,com.mfpe.service,QuestionResponsesServiceImpl,38,3,0,0,8,1,1,1,1,1
audit-severity,com.mfpe.service,AuditResponseServiceImpl,0,169,1,19,0,37,1,15,0,6
audit-severity,com.mfpe.model,AuditBenchmark,91,56,17,1,0,6,15,6,6,6
audit-severity,com.mfpe.model,AuthenticationResponse,105,63,23,3,0,6,19,6,6,6
audit-severity,com.mfpe.model,AuditDetail,115,66,27,3,0,6,21,6,6,6
audit-severity,com.mfpe.model,AuditQuestion,131,79,29,3,0,7,23,7,7,7
audit-severity,com.mfpe.model,AuditRequest,115,66,27,3,0,6,21,6,6,6
audit-severity,com.mfpe.model,AuditType,59,24,13,1,0,2,11,3,4,3
audit-severity,com.mfpe.model,AuditResponse,51,251,28,20,0,11,24,18,1,17
audit-severity,com.mfpe.exception,ValidationException,7,0,0,0,4,0,2,0,2,0
audit-severity,com.mfpe.exception,ExceptionHandlerAdvice,25,7,0,0,5,2,2,2,2,2
audit-severity,com.mfpe,AuditSeverityApplication,5,3,0,0,2,1,1,1,1,1
audit-severity,com.mfpe.swagger,SwaggerConfig,0,15,0,0,0,3,0,2,0,2
